Site,Depth,Sand,Silt,Clay,BulkD,Th33,Th1500,Theta_r,Theta_s,Alpha,N,Ks,Ko,L
BIXB,5,43.6,49.5,6.9,1.02,0.292,0.067,0.025,0.45,0.063,1.51,172.7,3.7,0.93
BIXB,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
BIXB,25,36.7,53.2,10,1.48,0.192,0.061,0.023,0.347,0.174,1.39,31.3,9.3,-0.6
BIXB,45,37.2,54.1,8.8,1.57,0.188,0.061,0.023,0.327,0.174,1.38,26.5,8.9,-0.69
BIXB,60,28.6,57.6,13.8,1.51,0.242,0.082,0.031,0.356,0.081,1.46,21.2,3.5,0.05
BIXB,75,36.7,47,16.3,1.51,0.284,0.095,0.039,0.372,0.042,1.59,11.6,1.6,0.5
BLAC,5,27.8,49.2,23,1.43,0.282,0.151,0.057,0.408,0.149,1.33,16.4,5.2,-0.76
BLAC,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
BLAC,25,17.5,44.8,37.8,1.39,0.334,0.169,0.068,0.446,0.07,1.41,10.6,2,0.09
BLAC,45,15.5,42.3,42.3,1.52,0.317,0.203,0.075,0.422,0.182,1.25,7.6,4.8,-1.65
BLAC,60,20,40.3,39.7,1.63,0.33,0.201,0.062,0.397,0.102,1.26,2.9,2.7,-0.87
BLAC,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
BOIS,5,35,23.8,41.2,1.23,0.247,0.16,0.092,0.488,0.447,1.35,71.9,23.1,-1.76
BOIS,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
BOIS,25,19.7,30.2,50.1,1.46,0.336,0.23,0.084,0.448,0.226,1.23,16,5.8,-2.21
BOIS,45,16.3,37,46.7,1.56,0.355,0.269,0.087,0.424,0.304,1.17,4.1,6.3,-4.2
BOIS,60,9.9,42.8,47.3,1.59,0.359,0.265,0.081,0.42,0.248,1.17,2.7,5.2,-3.97
